"";;DATE;;8/17/2007;;9/6/2007;;9/20/2007;;10/2/2007;;10/15/2007;;10/19/2007;;11/5/2007;;11/15/2007;;11/26/2007;;12/4/2007;;12/11/2007;;1/17/2008;;1/28/2008;;2/7/2008;;2/18/2008;;2/22/2008;;2/28/2008;;3/25/2008;;4/3/2008;;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;"";;""
